loan_amount,annual_income,credit_score,employment_years,debt_to_income,num_credit_lines,num_delinquencies,loan_purpose,default
16795,143313,613,7,0.07,3,6,business,1
1860,57909,679,8,0.33,11,5,auto,0
39158,41352,719,12,0.12,17,5,auto,0
45732,121975,351,16,0.12,10,4,auto,1
12284,113848,808,8,0.61,17,4,auto,1
7265,125596,504,12,0.35,14,1,personal,0
17850,35438,556,8,0.61,1,6,home,1
38194,108921,484,5,0.24,9,6,education,1
22962,64999,444,26,0.23,15,7,home,1
48191,38482,313,9,0.23,4,3,home,0
45131,52471,545,4,0.48,3,8,business,1
17023,67279,486,6,0.62,7,9,home,1
42090,129413,636,10,0.37,3,2,home,0
2685,126748,558,23,0.32,15,2,personal,0
1769,74213,339,8,0.73,10,1,auto,1
3433,133909,717,24,0.13,16,9,home,0
6311,33026,650,9,0.39,17,6,home,1
38819,127625,308,10,0.34,19,9,business,0
40188,105184,649,2,0.12,1,1,education,0
18568,25435,383,28,0.24,1,6,business,1
20769,28493,832,7,0.07,14,2,education,0
29693,92227,657,16,0.66,2,0,education,1
7396,79321,677,6,0.48,2,7,education,0
28480,22763,471,11,0.62,10,7,personal,1
42434,40389,324,15,0.42,15,9,personal,0
26658,51498,692,14,0.47,15,0,auto,0
19942,83755,402,20,0.54,7,5,education,0
19431,121545,535,28,0.69,8,3,personal,0
3747,55825,709,12,0.11,11,4,personal,0
1189,36934,848,17,0.28,16,7,home,0
20118,25574,631,17,0.55,7,7,education,0
36773,58179,831,23,0.72,9,6,business,1
2899,21587,328,4,0.74,19,4,home,0
2267,62782,842,13,0.5,1,5,personal,0
32551,124224,318,27,0.19,18,7,personal,0
12394,74412,447,10,0.13,8,4,personal,0
4556,80561,770,2,0.71,8,2,personal,0
4890,97224,790,16,0.35,8,8,business,0
42606,24409,582,26,0.19,14,8,auto,1
31740,147159,412,22,0.7,2,9,auto,1
15502,91319,754,26,0.12,3,0,education,0
22777,119016,629,11,0.56,7,6,personal,0
11627,46751,554,2,0.49,3,3,education,1
9792,58174,698,22,0.11,15,5,business,1
44323,142678,807,27,0.29,11,6,education,0
44021,76572,765,1,0.15,2,7,auto,1
9433,81416,706,3,0.47,18,4,auto,0
44001,32041,397,17,0.38,14,4,auto,1
12016,43227,589,19,0.05,18,5,education,0
24897,55201,455,20,0.73,2,6,personal,0
3612,56069,461,13,0.29,4,4,home,0
24483,102190,396,7,0.23,14,4,auto,1
49555,46370,676,1,0.21,7,3,education,0
18159,115018,749,25,0.16,15,0,home,0
45974,145342,416,18,0.75,6,6,auto,0
41994,147173,805,9,0.26,5,6,auto,0
15541,31586,488,27,0.33,18,5,business,1
36920,70231,775,28,0.66,11,9,auto,1
27531,145758,622,4,0.5,8,1,home,0
2585,25322,479,10,0.31,12,1,home,1
4943,85294,480,27,0.68,18,5,personal,1
24939,99468,586,27,0.57,15,8,home,0
20457,49299,774,8,0.21,8,4,education,0
2021,110715,561,15,0.5,4,6,education,0
12653,90793,822,25,0.7,15,1,auto,0
44573,66501,461,26,0.4,11,5,personal,1
14417,77134,786,4,0.56,1,5,auto,0
41757,131672,480,14,0.73,2,9,personal,0
10692,29777,768,13,0.53,8,5,business,1
46758,31249,320,8,0.12,16,5,personal,1
